asset_name,isin,holding_name,holding_ticker,weight_pct,sector,geo,asset_class
FTSE All-World USD (Acc),IE00BK5BQT80,NVIDIA Corp,NVDA,5.300692,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Apple Inc,AAPL,4.406599,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Microsoft Corp,MSFT,4.300160,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Amazon.com Inc,AMZN,2.618414,Consumer Discretionary,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Broadcom Inc,AVGO,1.915913,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Alphabet Inc,GOOGL,1.830761,Communication,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Meta Platforms Inc,META,1.585950,Communication,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Alphabet Inc,GOOG,1.490154,Communication,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Tesla Inc,TSLA,1.436935,Consumer Discretionary,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Taiwan Semiconductor Manufacturing Co Ltd,2330,1.330495,Technology,Unknown from proxy data,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,JPMorgan Chase & Co,JPM,0.968600,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Eli Lilly & Co,LLY,0.777009,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Berkshire Hathaway Inc,BRK/B,0.745077,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Visa Inc,V,0.649282,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Tencent Holdings Ltd,700,0.564130,Communication Services,China,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Exxon Mobil Corp,XOM,0.553486,Energy,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Netflix Inc,NFLX,0.532198,Communication,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Johnson & Johnson,JNJ,0.510910,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Mastercard Inc,MA,0.500266,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Palantir Technologies Inc,PLTR,0.489622,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Walmart Inc,WMT,0.489622,Consumer Staples,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Oracle Corp,ORCL,0.489622,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,ASML Holding NV,ASML,0.468334,Information Technology,Netherlands,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Advanced Micro Devices Inc,AMD,0.457690,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Costco Wholesale Corp,COST,0.447046,Consumer Staples,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,AbbVie Inc,ABBV,0.436402,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Alibaba Group Holding Ltd,9988,0.425758,Consumer Discretionary,Unknown from proxy data,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Home Depot Inc/The,HD,0.425758,Consumer Discretionary,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Bank of America Corp,BAC,0.404470,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Samsung Electronics Co Ltd,005930,0.404470,Information Technology,Korea (South),Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Procter & Gamble Co/The,PG,0.393827,Consumer Staples,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,General Electric Co,GE,0.361895,Industrials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,UnitedHealth Group Inc,UNH,0.351251,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Chevron Corp,CVX,0.340607,Energy,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Cisco Systems Inc,CSCO,0.319319,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,International Business Machines Corp,IBM,0.319319,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Wells Fargo & Co,WFC,0.319319,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Coca-Cola Co/The,KO,0.298031,Consumer Staples,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,SAP SE,SAP,0.298031,Information Technology,Germany,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Caterpillar Inc,CAT,0.298031,Industrials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Micron Technology Inc,MU,0.276743,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,AstraZeneca PLC,AZN,0.276743,Health Care,United Kingdom,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Nestle SA,NESN,0.276743,Consumer Staples,Switzerland,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Salesforce Inc,CRM,0.266099,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,HSBC Holdings PLC,HSBA,0.266099,Financials,United Kingdom,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,RTX Corp,RTX,0.266099,Industrials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Goldman Sachs Group Inc/The,GS,0.266099,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Novartis AG,NOVN,0.255455,Health Care,Switzerland,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Philip Morris International Inc,PM,0.255455,Consumer Staples,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Roche Holding AG,ROG,0.255455,Health Care,Switzerland,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Shell PLC,SHEL,0.255455,Energy,United Kingdom,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Merck & Co Inc,MRK,0.244811,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Toyota Motor Corp,7203,0.244811,Consumer Discretionary,Japan,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Thermo Fisher Scientific Inc,TMO,0.234167,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,McDonald's Corp,MCD,0.234167,Consumer Discretionary,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Abbott Laboratories,ABT,0.234167,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,SK hynix Inc,000660,0.234167,Technology,"Korea, Republic of",Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Siemens AG,SIE,0.234167,Industrials,Germany,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Royal Bank of Canada,RY,0.223523,Financials,Canada,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Lam Research Corp,LRCX,0.223523,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Walt Disney Co/The,DIS,0.223523,Communication,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Berkshire Hathaway Inc,BRK/A,0.223523,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,PepsiCo Inc,PEP,0.223523,Consumer Staples,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,American Express Co,AXP,0.223523,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,QUALCOMM Inc,QCOM,0.223523,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Shopify Inc,SHOP,0.223523,Information Technology,Canada,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Linde PLC,LIN,0.223523,Materials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Uber Technologies Inc,UBER,0.212879,Industrials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Intuitive Surgical Inc,ISRG,0.212879,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,ServiceNow Inc,NOW,0.212879,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Applied Materials Inc,AMAT,0.212879,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Morgan Stanley,MS,0.212879,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Commonwealth Bank of Australia,CBA,0.212879,Financials,Australia,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Citigroup Inc,C,0.212879,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Intuit Inc,INTU,0.202235,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,LVMH Moet Hennessy Louis Vuitton SE,MC,0.202235,Consumer Discretionary,France,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Intel Corp,INTC,0.191591,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,AT&T Inc,T,0.191591,Communication,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,SoftBank Group Corp,9984,0.191591,Communication,Japan,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Sony Group Corp,6758,0.191591,Consumer Discretionary,Japan,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Mitsubishi UFJ Financial Group Inc,8306,0.191591,Financials,Japan,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Amphenol Corp,APH,0.191591,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Verizon Communications Inc,VZ,0.191591,Communication,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,NextEra Energy Inc,NEE,0.191591,Utilities,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Booking Holdings Inc,BKNG,0.180947,Consumer Discretionary,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,BlackRock Funding Inc/DE,BLK,0.180947,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Arista Networks Inc,ANET,0.180947,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Amgen Inc,AMGN,0.180947,Health Care,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Charles Schwab Corp/The,SCHW,0.180947,Financials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,GE Vernova Inc,GEV,0.180947,Industrials,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,KLA Corp,KLAC,0.180947,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Accenture PLC,ACN,0.170303,Information Technology,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,TJX Cos Inc/The,TJX,0.170303,Consumer Discretionary,United States,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Schneider Electric SE,SU,0.170303,Industrials,France,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Novo Nordisk A/S,NOVOB,0.170303,Health Care,Unknown from proxy data,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Allianz SE,ALV,0.170303,Financials,Germany,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,Hitachi Ltd,6501,0.170303,Industrials,Japan,Proxy ETF underlying
FTSE All-World USD (Acc),IE00BK5BQT80,AppLovin Corp,APP,0.170303,Information Technology,United States,Proxy ETF underlying
